regime,kernels,warpEff,branchEff,fp64_pipe_pct,compute_SOL_pct,mem_SOL_pct,occupancy_pct,dur_ms,regs,L1_hit_pct,L2_hit_pct,clk_GHz
interior,6,100.0,100.0,85.551,85.471,0.005,98.947,726.429,22.0,0.594,87.635,1.345
exterior,6,100.0,100.0,85.608,85.356,4.587,93.989,614.869,22.0,0.609,99.441,1.317
boundary,60,92.569,99.559,85.273,78.139,0.225,84.331,16.803,22.0,12.109,99.178,1.333
canonical,60,94.414,96.378,84.078,69.429,0.869,79.052,30.663,22.0,14.447,94.164,1.324
